Italian,English
non,Not
di,Of
che,That
è,And
e,And
la,there
il,The
un,a
a,to
per,For
in,in
una,a
mi,me
sono,I am
ho,I have
ma,but
lo,the
ha,has
le,the
si,Yes
ti,you
i,the
con,with
cosa,What
se,self
io,I
come,as
da,from
ci,There
no,no
questo,This
qui,here
e',And'
hai,you have
sei,six
del,of the
bene,Well
tu,you
sì,Yes
me,myself
più,more
al,to the
mio,my
c',there
perché,Why
lei,she
solo,Alone
te,you
era,era
gli,The
tutto,All
della,from the
così,Like this
mia,my
ne,neither
questa,this
fare,Do
quando,when
ora,Now
fatto,Done
essere,to be
so,I know
mai,never
chi,who
o,or
alla,at the
tutti,everyone
molto,Very
dei,of the
anche,Also
detto,said
quello,that
va,it goes
niente,Nothing
grazie,Thank you
lui,he
voglio,I want
abbiamo,we have
stato,state
nel,In the
suo,his
dove,Where
posso,I can
oh,Oh
prima,Before
allora,At that time
siamo,we are
uno,one
un',a
sua,her
tuo,your
hanno,they have
noi,we
sta,is
fa,does
due,two
vuoi,you want
ancora,Still
qualcosa,something
vero,True
casa,home
sia,is
su,on
tua,your
sempre,Always
forse,Perhaps
dire,to say
vi,you
loro,They
i',the'
altro,other
sai,you know
stai,you are
devo,I have to
quella,that
vita,life
quel,that
delle,from the
tempo,time
andare,go
certo,Certain
poi,Then
nella,in the
uomo,man
signore,Gentleman
ad,to
po',bit'
può,can
credo,I believe
voi,you
già,Already
adesso,Now
andiamo,let's go
anni,years
all',at
visto,view
fuori,out
proprio,own
parte,part
davvero,Really
vuole,wants
li,there
dell',of
sto,this
quanto,How much
volta,time
via,Street
sul,on the
é,And
dio,God
sarà,will be
dopo,After
senza,without
cose,things
nessuno,Nobody
fai,you do
giorno,day
ed,and
meglio,Better
padre,father
puoi,you can
ciao,HI
cos',so
devi,you have to
ecco,Here you are
qualcuno,someone
dal,from the
lavoro,Work
sa,know
ai,to the
vedere,see
ogni,Everything is fine
ii,II
troppo,too
posto,place
cui,which
tanto,much
male,bad
dai,come on
ce,there is
bisogno,need
signor,Mr
beh,Well
perchè,Why
vieni,You come
alle,to
dalla,from the
stata,was
tra,Between
vai,Go
ehi,Hey
miei,my
amico,Friend
dice,He says
sarebbe,would be
avete,you have
altra,other
deve,needs to
sulla,on the
qualche,some
sembra,it seems
gente,people
dobbiamo,we have to
modo,way
tre,Three
momento,moment
prego,Please
parlare,speak
mamma,mom
guarda,Look
signora,Lady
grande,great
lì,there
madre,mother
possiamo,we can
avanti,after you
avere,have
successo,success
ero,I was
donna,woman
nuovo,new
ah,Ah
faccio,I do
aveva,I had
nostro,our
degli,of the
questi,these
siete,you are
forza,Force
piace,pleases
bella,Pretty
dov',where to
soldi,money
avevo,I had
favore,favor
fosse,is
altri,others
dispiace,sorry
subito,right away
dentro,inside
oggi,Today
accordo,agreement
tutta,all
faccia,face
nome,first name
ok,ok
notte,Night
queste,these
figlio,son
mondo,world
nostra,our
sapere,know
vado,I go
tutte,all
aspetta,Wait
amare,love
moglie,wife
sicuro,Safe
suoi,his
penso,I think
paura,fear
idea,idea
testa,head
papà,Pope
giusto,Right
eh,eh
vorrei,I would like
senti,feel
presto,Soon
uomini,men
basta,Enough
potrebbe,could be
stesso,same
avuto,had
porta,brings
erano,they were
stare,to stay
buona,Good
quindi,Therefore
farlo,to do it
appena,as soon as
abbia,have
ragione,reason
sentito,sense
ragazzi,Boys
domani,Tomorrow
ragazza,lass
ragazzo,lad
insieme,Together
sotto,under
volevo,I wanted
pronto,ready
nei,in the
ciò,that is
volte,times
capito,Understood
succede,happens
preso,taken 
facendo,doing
piacere,Pleasure
morto,died
tuoi,your
capitano,captain
letto,Bed
storia,history
caso,case
trovato,found
amici,friends
venire,come
dico,I say
capisco,I understand
problema,problem
fino,until
tipo,guy
là,there
qua,here
pensi,think
aver,have
giorni,days
cazzo,fuck
okay,okay
nulla,Nothing
bello,Handsome
persone,people
buon,Good
terra,Earth
ia,ia
dato,given
secondo,second
film,movie
nell',in the'
mano,hand
facciamo,we do
vediamo,We see
vedo,I see
stanno,they are
avrei,I would have
prendere,take
dici,you say
serve,serve
morte,death
meno,less
città,city
occhi,eyes
fine,end
Sig.,Mr
ê,And
tesoro,treasure
scusi,Excuse me
primo,first
credi,believe
salve,Greetings
nave,ship
stiamo,we are
sera,evening
piano,floor
sento,I feel
macchina,machine
